"relative_path"	"Length"	"LastWriteTime"
"figures\article\suppfig1_cohort_curation.pdf"	"48032"	"2026/5/8 13:04:39"
"figures\article\suppfig1_cohort_curation.png"	"374838"	"2026/5/8 13:04:39"
"figures\article\suppfig1_cohort_curation.svg"	"27785"	"2026/5/8 13:04:39"
"figures\article\suppfig1_cohort_curation.tiff"	"58554914"	"2026/5/8 13:04:39"
"figures\article\suppfig2_platform_gene_coverage.pdf"	"55668"	"2026/5/8 13:04:40"
"figures\article\suppfig2_platform_gene_coverage.png"	"360974"	"2026/5/8 13:04:40"
"figures\article\suppfig2_platform_gene_coverage.svg"	"52927"	"2026/5/8 13:04:41"
"figures\article\suppfig2_platform_gene_coverage.tiff"	"58563802"	"2026/5/8 13:04:40"
"figures\article\suppfig3_benchmark_detail.pdf"	"45977"	"2026/5/8 13:04:41"
"figures\article\suppfig3_benchmark_detail.png"	"284188"	"2026/5/8 13:04:41"
"figures\article\suppfig3_benchmark_detail.svg"	"27832"	"2026/5/8 13:04:42"
"figures\article\suppfig3_benchmark_detail.tiff"	"59150518"	"2026/5/8 13:04:41"
"figures\article\suppfig4_full_baseline_comparison.pdf"	"58105"	"2026/5/8 13:04:43"
"figures\article\suppfig4_full_baseline_comparison.png"	"263134"	"2026/5/8 13:04:42"
"figures\article\suppfig4_full_baseline_comparison.svg"	"66553"	"2026/5/8 13:04:44"
"figures\article\suppfig4_full_baseline_comparison.tiff"	"65122774"	"2026/5/8 13:04:43"
"figures\article\suppfig5_endpoint_sensitivity.pdf"	"69195"	"2026/5/8 13:04:46"
"figures\article\suppfig5_endpoint_sensitivity.png"	"313730"	"2026/5/8 13:04:45"
"figures\article\suppfig5_endpoint_sensitivity.svg"	"78542"	"2026/5/8 13:04:47"
"figures\article\suppfig5_endpoint_sensitivity.tiff"	"65588494"	"2026/5/8 13:04:45"
"figures\article\suppfig6_ablation_optimizer.pdf"	"42796"	"2026/5/8 13:04:47"
"figures\article\suppfig6_ablation_optimizer.png"	"231395"	"2026/5/8 13:04:47"
"figures\article\suppfig6_ablation_optimizer.svg"	"23784"	"2026/5/8 13:04:47"
"figures\article\suppfig6_ablation_optimizer.tiff"	"59121226"	"2026/5/8 13:04:47"
"figures\article\suppfig7_external_validation_expanded.pdf"	"45054"	"2026/5/8 13:04:48"
"figures\article\suppfig7_external_validation_expanded.png"	"456853"	"2026/5/8 13:04:48"
"figures\article\suppfig7_external_validation_expanded.svg"	"20969"	"2026/5/8 13:04:48"
"figures\article\suppfig7_external_validation_expanded.tiff"	"65871254"	"2026/5/8 13:04:48"
"figures\article\suppfig8_pd1_rescue.pdf"	"41241"	"2026/5/8 13:04:49"
"figures\article\suppfig8_pd1_rescue.png"	"307920"	"2026/5/8 13:04:49"
"figures\article\suppfig8_pd1_rescue.svg"	"10985"	"2026/5/8 13:04:49"
"figures\article\suppfig8_pd1_rescue.tiff"	"59238698"	"2026/5/8 13:04:49"
"figures\article\suppfig9_single_cell_mechanism.pdf"	"91349"	"2026/5/8 13:04:51"
"figures\article\suppfig9_single_cell_mechanism.png"	"309799"	"2026/5/8 13:04:50"
"figures\article\suppfig9_single_cell_mechanism.svg"	"77581"	"2026/5/8 13:04:52"
"figures\article\suppfig9_single_cell_mechanism.tiff"	"65174918"	"2026/5/8 13:04:50"
"tables\article\supp_table_01_data_registry_roles.tsv"	"2077"	"2026/5/8 13:00:23"
"tables\article\supp_table_02_access_audit.tsv"	"2696"	"2026/5/8 13:00:23"
"tables\article\supp_table_03_expression_qc.tsv"	"1767"	"2026/5/8 13:00:23"
"tables\article\supp_table_04_manual_curation_evidence.tsv"	"9672"	"2026/5/8 13:00:23"
"tables\article\supp_table_05_external_cohort_gap_audit.tsv"	"6410"	"2026/5/8 13:00:23"
"tables\article\supp_table_06_endpoint_label_sensitivity.tsv"	"2584"	"2026/5/8 13:00:23"
"tables\article\supp_table_07_module_gene_sets.tsv"	"2813"	"2026/5/8 13:00:23"
"tables\article\supp_table_08_ecological_edges.tsv"	"230395"	"2026/5/8 13:00:23"
"tables\article\supp_table_09_optimizer_history.tsv"	"5787"	"2026/5/8 13:00:23"
"tables\article\supp_table_10_melanoma_benchmark_summary.tsv"	"11180"	"2026/5/8 13:00:23"
"tables\article\supp_table_11_signature_family_fdr.tsv"	"740"	"2026/5/8 13:00:23"
"tables\article\supp_table_12_lodo_metrics.tsv"	"57064"	"2026/5/8 13:00:23"
"tables\article\supp_table_13_word_graph_ablation.tsv"	"2150"	"2026/5/8 13:00:23"
"tables\article\supp_table_14_decision_curve.tsv"	"127726"	"2026/5/8 13:00:23"
"tables\article\supp_table_15_locked_external_metrics.tsv"	"62846"	"2026/5/8 13:00:23"
"tables\article\supp_table_16_nanostring_panel_transfer.tsv"	"5174"	"2026/5/8 13:00:23"
"tables\article\supp_table_17_pd1_like_rescue.tsv"	"2602"	"2026/5/8 13:00:23"
"tables\article\supp_table_18_single_cell_enrichment.tsv"	"3957"	"2026/5/8 13:00:23"
"tables\article\supp_table_19_perturbation_hypotheses.tsv"	"33987"	"2026/5/8 13:00:23"
"tables\article\supp_table_20_prospective_package_manifest.tsv"	"317"	"2026/5/8 13:00:23"
"tables\article\table_manifest.tsv"	"2306"	"2026/5/8 13:00:23"
"paper\article_figure_captions_20260508.md"	"2384"	"2026/5/8 13:04:52"
"paper\article_figure_resolution_audit_20260508.tsv"	"1202"	"2026/5/8 13:05:21"
"paper\article_storyboard_and_figure_plan_20260508.md"	"15857"	"2026/5/8 12:20:40"
"paper\article_suite_audit_20260508.md"	"6000"	"2026/5/8 13:04:52"
"paper\manuscript_econiche_opt_article_draft_20260508.md"	"4816"	"2026/5/8 13:04:52"
